// p-mnist

***MIR
***CoPE

***Non-episodic | 0_mem, e_10, bs_16
S:5                                    | S:12                                   | S:39
0.9187, 0.0000, 0.0000, 0.0000, 0.0000 | 0.9195, 0.0000, 0.0000, 0.0000, 0.0000 | 0.9170, 0.0000, 0.0000, 0.0000, 0.0000
0.8630, 0.9273, 0.0000, 0.0000, 0.0000 | 0.8696, 0.9303, 0.0000, 0.0000, 0.0000 | 0.8852, 0.9302, 0.0000, 0.0000, 0.0000
0.8425, 0.9084, 0.9331, 0.0000, 0.0000 | 0.7942, 0.8907, 0.9353, 0.0000, 0.0000 | 0.8160, 0.8503, 0.9301, 0.0000, 0.0000 
0.7882, 0.8546, 0.9023, 0.9398, 0.0000 | 0.7110, 0.8518, 0.8607, 0.9348, 0.0000 | 0.7484, 0.8514, 0.8751, 0.9377, 0.0000 
0.7207, 0.8126, 0.8291, 0.9067, 0.9391 | 0.6942, 0.8062, 0.7478, 0.8761, 0.9384 | 0.6382, 0.7426, 0.8384, 0.8825, 0.9390

10_per-class_mem
S:5                                    | S:12                                   | S:39
| 0.9195,  0.0000,  0.0000,  0.0000,  0.0000 | 0.9170,  0.0000,  0.0000,  0.0000,  0.0000 
| 0.8836,  0.9292,  0.0000,  0.0000,  0.0000 | 0.8771,  0.9274,  0.0000,  0.0000,  0.0000 
| 0.8553,  0.8652,  0.9325,  0.0000,  0.0000 | 0.8533,  0.8808,  0.9334,  0.0000,  0.0000 
| 0.8525,  0.7586,  0.8891,  0.9384,  0.0000 | 0.8085,  0.8236,  0.8988,  0.9414,  0.0000
| 0.8047,  0.7652,  0.8422,  0.9034,  0.9351 | 0.7873,  0.7107,  0.8432,  0.8924,  0.9372 



*** Episodic+CE | 0_mem, 5-ways, 20k_iter
S:5                                    | S:12                                   | S:39
0.9007, 0.0000, 0.0000, 0.0000, 0.0000 | 0.8946, 0.0000, 0.0000, 0.0000, 0.0000 | 0.8951, 0.0000, 0.0000, 0.0000, 0.0000 
0.8743, 0.9111, 0.0000, 0.0000, 0.0000 | 0.8724, 0.9084, 0.0000, 0.0000, 0.0000 | 0.8776, 0.9111, 0.0000, 0.0000, 0.0000 
0.8567, 0.8775, 0.9187, 0.0000, 0.0000 | 0.8429, 0.9026, 0.9154, 0.0000, 0.0000 | 0.8140, 0.8854, 0.9177, 0.0000, 0.0000 
0.8280, 0.8743, 0.9020, 0.9247, 0.0000 | 0.7824, 0.8756, 0.9002, 0.9215, 0.0000 | 0.7618, 0.8469, 0.9060, 0.9179, 0.0000 
0.7265, 0.8546, 0.8793, 0.9077, 0.9264 | 0.7759, 0.8666, 0.8841, 0.9014, 0.9248 | 0.7222, 0.8060, 0.8880, 0.8999, 0.9222 

mem: 10 pre_class
0.9002,  0.0000,  0.0000,  0.0000,  0.0000 | 0.8957,  0.0000,  0.0000,  0.0000,  0.0000 | 0.8942,  0.0000,  0.0000,  0.0000,  0.0000 
0.8815,  0.9079,  0.0000,  0.0000,  0.0000 | 0.8543,  0.9109,  0.0000,  0.0000,  0.0000 | 0.8715,  0.9104,  0.0000,  0.0000,  0.0000
0.8566,  0.8904,  0.9186,  0.0000,  0.0000 | 0.8240,  0.8786,  0.9170,  0.0000,  0.0000 | 0.8428,  0.8697,  0.9215,  0.0000,  0.0000
